timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1569427966262,9056,LifeCharger,200,OK,Users 1-7,text,true,,57413,119,20,20,http://lifecharger.org/,8135,0,272
1569427966165,9247,LifeCharger,200,OK,Users 1-3,text,true,,57414,119,20,20,http://lifecharger.org/,8232,0,342
1569427966164,10707,LifeCharger,200,OK,Users 1-2,text,true,,57428,119,20,20,http://lifecharger.org/,10141,0,353
1569427966357,11015,LifeCharger,200,OK,Users 1-9,text,true,,57406,119,20,20,http://lifecharger.org/,9953,0,264
1569427977374,926,LifeChargerAbout,500,Internal Server Error,Users 1-9,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",851,124,20,20,http://lifecharger.org/about,926,0,267
1569427976874,1435,LifeChargerAbout,500,Internal Server Error,Users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",851,124,19,19,http://lifecharger.org/about,1435,0,261
1569427966310,12044,LifeCharger,200,OK,Users 1-8,text,true,,57407,119,18,18,http://lifecharger.org/,10104,0,265
1569427966201,12165,LifeCharger,200,OK,Users 1-6,text,true,,57414,119,18,18,http://lifecharger.org/,11206,0,304
1569427966165,13132,LifeCharger,200,OK,Users 1-4,text,true,,57428,119,18,18,http://lifecharger.org/,12179,0,353
1569427979299,995,LifeChargerAbout,500,Internal Server Error,Users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",851,124,18,18,http://lifecharger.org/about,995,0,274
1569427966516,13881,LifeCharger,200,OK,Users 1-12,text,true,,57408,119,17,17,http://lifecharger.org/,12979,0,261
1569427966165,15105,LifeCharger,200,OK,Users 1-1,text,true,,57421,119,17,17,http://lifecharger.org/,13240,0,338
1569427966403,14918,LifeCharger,200,OK,Users 1-10,text,true,,57413,119,17,17,http://lifecharger.org/,14066,0,258
1569427966450,14941,LifeCharger,200,OK,Users 1-11,text,true,,57414,119,17,17,http://lifecharger.org/,13041,0,261
1569427966169,16195,LifeCharger,200,OK,Users 1-5,text,true,,57413,119,17,17,http://lifecharger.org/,15176,0,352
